Category,Category2,Item Name,Disposal Category,Cleaning/Preparation Steps ,Disposal Instructions,Sustainable Alternatives,Environmental Impact,Image,Disposal Details,Sustainable Details
Plastic,Food Container,"Plastic Food Container (PEP, HDPE)",Recyclable,Rinse thoroughly,Place in the recycling bin.,Replace plastic containers with glass or stainless steel.,"When you skip one Plastic Food Container,  Plastic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.10 kg Landfill Use Reduction: 0.2 liters",assets/images/items/PlasticFoodContainers_PEP_HDPE_.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Use glass or stainless steel containers for food storage, which are durable, non-toxic, and can be used for years, significantly reducing plastic waste."
Plastic,Food Container,Plastic Takeout Container (Clamshell),Recyclable,Clean if necessary,Dispose of in regular trash.,Bring your own reusable containers for takeout.,"When you skip one Plastic Takeout Container,  Plastic Waste Reduction: 0.01 kg CO2 Emissions Reduction: 0.08 kg Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticTakeoutContainer_Clamshell_.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","When ordering takeout, bring your own reusable containers or choose restaurants that offer compostable or reusable options to avoid single-use plastics."
Plastic,Food Container,Plastic Yogurt Cup,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Opt for yogurt in glass jars or make your own at home.,"When you skip one Plastic Yogurt Cup,  Plastic Waste Reduction: 0.01 kg CO2 Emissions Reduction: 0.06 kg Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticYogurtCup.png,"PP (No.5, Polypropylene): used for plastic cups, yogurt containers, straws, and medicine bottles, and its recyclability varies. But yogurt containers are usually recyclable.  Polypropylene is a hard but flexible plastic with a high melting point and excellent chemical resistance. These properties make it one of the safer plastic options to use for food and drink products at a higher temperature.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Purchase yogurt in glass jars, which can be recycled or reused, or make your own yogurt at home using reusable containers to eliminate plastic waste."
Plastic,Food Container,Plastic Ice Cream Tub,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Choose ice cream in paper or cardboard tubs.,"When you skip one Plastic Ice Cream Tub,  Plastic Waste Reduction: 0.04 kg CO2 Emissions Reduction: 0.15 kg Landfill Use Reduction: 0.3 liters",assets/images/items/PlasticIceCreamTub.png,"PP (No.5, Polypropylene): used for plastic cups, yogurt containers, straws, and medicine bottles, and its recyclability varies. But yogurt containers are usually recyclable.  Polypropylene is a hard but flexible plastic with a high melting point and excellent chemical resistance. These properties make it one of the safer plastic options to use for food and drink products at a higher temperature.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Buy ice cream in recyclable or compostable paper tubs, or make homemade ice cream and store it in reusable containers to avoid plastic packaging."
Plastic,Food Container,Plastic Salad Container,Recyclable,Clean if necessary,Dispose of in regular trash.,Use reusable containers when buying salads.,"When you skip one Plastic Salad Container,  Plastic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.10 kg Landfill Use Reduction: 0.2 liters",assets/images/items/PlasticSaladContainer.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.",Bring your own reusable container when purchasing salads or opt for stores that offer compostable packaging to minimize plastic waste.
Plastic,Food Packaging,Plastic Food Packaging Etc.,Recyclable,Clean if necessary,Dispose of in regular trash.,Choose compostable packaging to reduce plastic waste.,"When you skip Plastic Food Packaging Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use.",assets/images/items/PlasticFoodPackagingEtc.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.",Buy food in bulk using your own containers or choose products with compostable packaging to minimize plastic waste and reduce environmental impact.
Plastic,Food Packaging,Plastic Bread Bag,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Switch to cloth bread bags for packaging-free storage.,"When you skip one bread bag,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticBreadBag.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Use cloth bread bags, which are washable and reusable, or buy bread from bakeries that offer packaging-free options or use recyclable materials."
Plastic,Food Packaging,Plastic Snack Wrapper,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Use reusable snack bags instead of single-use wrappers.,"When you skip one snack wrapper,
Plastic Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.05 liters",assets/images/items/PlasticSnackWrapper.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Opt for reusable silicone or fabric snack bags that can be washed and reused multiple times, reducing the need for single-use plastic wrappers."
Plastic,Food Packaging,Plastic Wrap,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Replace plastic wrap with beeswax wraps.,"When you skip one use of plastic wrap,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.04 kg
Landfill Use Reduction: 0.08 liters",assets/images/items/PlasticWrap.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Beeswax wraps are a reusable and eco-friendly alternative to plastic wrap, perfect for covering bowls or wrapping food, reducing plastic waste."
Plastic,Packaging,Plastic Bag,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Carry reusable bags instead of using plastic ones.,"When you skip one plastic bag,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticBags.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Reusable cloth or canvas bags are sturdy and can be used for years, making them a sustainable alternative to single-use plastic bags, which contribute heavily to waste."
Plastic,Food Packaging,Plastic Grocery Bag,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Use reusable cloth or canvas bags.,"When you skip one grocery bag,
Plastic Waste Reduction: 0.015 kg
CO2 Emissions Reduction: 0.06 kg
Landfill Use Reduction: 0.12 liters",assets/images/items/PlasticGroceryBags.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Switch to durable, reusable cloth or canvas bags for all shopping needs to reduce reliance on single-use plastic bags."
Plastic,Food Packaging,Plastic Ziploc Bag,Recyclable,Clean if necessary,Take them to a recycling drop-off bin located at participating grocery and retail stores or dispose of them in regular trash. They are not usually accepted in recycling bins.,Replace with reusable silicone or fabric bags.,"When you skip one Ziploc bag,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticZiplocBags.png,"LDPE (No. 4, Low Density Polyethylene) is used for plastic grocery bags, film wraps, and bread bags, and it’s generally not recyclable due to processing challenges. However, many retailers serve as drop-off centers for collecting this type of recyclable, which is then recycled into high-performance wood-alternative decking and railing.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Opt for reusable silicone or fabric bags that can be washed and reused, reducing the need for single-use plastic bags."
Plastic,Kitchen disposal item,Plastic Utensils Etc.,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,Use reusable metal or bamboo utensils.,"When you skip Plastic Utensils Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use.",assets/images/items/PlasticUtensilsEtc.png,"Most plastic utensils are made of PP (No.5, Polypropylene) or PEP (No.1 Polyethylene), and they are not recyclable because they are too small and lightweight to be sorted by recycling machines.","Carry reusable metal or bamboo utensils to avoid using disposable plastic ones, especially for picnics and takeout."
Plastic,Kitchen disposal item,Plastic Fork,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,Switch to metal or bamboo forks.,"When you skip one fork,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticForks.png,"Most plastic utensils are made of PP (No.5, Polypropylene) or PEP (No.1 Polyethylene), and they are not recyclable because they are too small and lightweight to be sorted by recycling machines.","Use durable, reusable metal or bamboo forks that can be cleaned and reused many times, reducing plastic waste."
Plastic,Kitchen disposal item,Plastic Spoon,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,Choose metal or bamboo spoons.,"When you skip one spoon,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticSpoons.png,"Most plastic utensils are made of PP (No.5, Polypropylene) or PEP (No.1 Polyethylene), and they are not recyclable because they are too small and lightweight to be sorted by recycling machines.","Opt for reusable metal or bamboo spoons instead of single-use plastic ones, which contribute to environmental waste."
Plastic,Kitchen disposal item,Plastic Knife,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,Use metal or bamboo knives.,"When you skip one knife,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticKnives.png,"Most plastic utensils are made of PP (No.5, Polypropylene) or PEP (No.1 Polyethylene), and they are not recyclable because they are too small and lightweight to be sorted by recycling machines.",Replace disposable plastic knives with reusable metal or bamboo knives to reduce plastic waste and environmental impact.
Plastic,Kitchen disposal item,Plastic Straw,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,"Switch to metal, bamboo, or glass straws.","When you skip one straw,
Plastic Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.02 kg
Landfill Use Reduction: 0.05 liters",assets/images/items/PlasticStraws.png,"Plastic straws are technically recyclable, but it is unlikely they will be recycled as they will fall out during a process designed to remove small items of contamination.","Use reusable straws made of metal, bamboo, or glass that can be cleaned and reused, reducing the need for plastic straws."
Plastic,Kitchen disposal item,Plastic Stir Stick,Non-Recyclable,Clean if necessary,Dispose of in regular trash.,Replace with reusable metal or wooden stir sticks.,"When you skip one stir stick,
Plastic Waste Reduction: 0.002 kg
CO2 Emissions Reduction: 0.01 kg
Landfill Use Reduction: 0.02 liters",assets/images/items/PlasticStirSticks.png,"Plastic Stir Sticks are technically recyclable, but it is unlikely they will be recycled as they will fall out during a process designed to remove small items of contamination.","Choose reusable metal or wooden stir sticks for beverages, which can be cleaned and reused, reducing plastic waste."
Plastic,Kitchen disposal item,Plastic Plate,Recyclable,Rinse if necessary,Place in the recycling bin.,"Use reusable plates made of glass, metal, or bamboo.","When you skip one plate,
Plastic Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.10 kg
Landfill Use Reduction: 0.2 liters",assets/images/items/PlasticPlates.png,"PP (No.5, Polypropylene): used for yogurt containers, straws, and medicine bottles, and its recyclability varies. But yogurt containers are usually recyclable.  Polypropylene is a hard but flexible plastic with a high melting point and excellent chemical resistance. These properties make it one of the safer plastic options to use for food and drink products at a higher temperature.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Opt for durable, reusable plates made from materials like glass, metal, or bamboo, which can be used repeatedly."
